ivr_id,phone_number,ivr_result,vdn_aggregation,start_date,end_date,total_duration,customer_segment,ivr_language,steps_module,module_aggregation,document_type,document_identification,customer_phone,billing_account_id,masiva_lg,info_by_phone_lg,info_by_dni_lg,repeated_phone_24H,cause_recall_phone_24H
1671461599,WjqvB51vb/O5Zfw6e2j4jA==,AGENT,TECH,19/12/2022 14:53:19,19/12/2022 14:53:45,26,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,WjqvB51vb/O5Zfw6e2j4jA==,NULL,1,0,0,1,1
1671184179,91F36PlGPWmd5fsiMSSIlw==,AGENT,TECH,16/12/2022 9:49:40,16/12/2022 9:50:10,30,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671034148,O/LbGfzJQahSQtIlhZcoKw==,AGENT,TECH,14/12/2022 16:09:08,14/12/2022 16:09:39,31,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,O/LbGfzJQahSQtIlhZcoKw==,NULL,1,0,0,1,1
1670863737,gphV/jEqQ9SKNBwJsDUGyg==,AGENT,TECH,12/12/2022 16:48:57,12/12/2022 16:49:24,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,gphV/jEqQ9SKNBwJsDUGyg==,NULL,1,0,0,1,1
1671457377,uvpWEIdD8RDc5q5FvxrxiA==,AGENT,TECH,19/12/2022 13:42:57,19/12/2022 13:43:59,62,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671125942,pB7LcQyUqw19EPSucwfD6Q==,AGENT,TECH,15/12/2022 17:39:02,15/12/2022 17:39:29,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,pB7LcQyUqw19EPSucwfD6Q==,NULL,1,0,0,1,1
1671461477,ZdcPJUFupavQohL8V0d9fA==,AGENT,TECH,19/12/2022 14:51:17,19/12/2022 14:51:50,33,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,ZdcPJUFupavQohL8V0d9fA==,NULL,1,0,0,1,1
1671537486,fX9FNVFemGVVd9ZfJ+gTBw==,AGENT,TECH,20/12/2022 11:58:07,20/12/2022 11:58:41,34,B2B,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,fX9FNVFemGVVd9ZfJ+gTBw==,NULL,1,0,0,1,1
1670838520,T2MZKhCbn6YmiR2PJscnGA==,AGENT,TECH,12/12/2022 9:48:41,12/12/2022 9:49:13,32,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,T2MZKhCbn6YmiR2PJscnGA==,NULL,1,0,0,1,1
1670867254,OUa3G7E46esp0Q8/jjqaJQ==,AGENT,TECH,12/12/2022 17:47:34,12/12/2022 17:48:40,66,B2C,CAT,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671306847,bnG5+244MeOD4GTbT2ulZg==,AGENT,TECH,17/12/2022 19:54:08,17/12/2022 19:54:35,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,bnG5+244MeOD4GTbT2ulZg==,NULL,1,0,0,1,1
1670764658,uqNPeaGTO+aSmMZ5EUw7uQ==,AGENT,TECH,11/12/2022 13:17:38,11/12/2022 13:18:07,29,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,uqNPeaGTO+aSmMZ5EUw7uQ==,NULL,1,0,0,1,1
1671119086,gTa1JTU6krhWhbja/2aO9A==,AGENT,TECH,15/12/2022 15:44:47,15/12/2022 15:45:15,28,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,gTa1JTU6krhWhbja/2aO9A==,NULL,1,0,0,1,1
1671029933,5EFgRuqWcZx725Hn+ZTUpQ==,AGENT,TECH,14/12/2022 14:58:53,14/12/2022 14:59:26,33,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671165117,5IQIdbbcI6tEJSvfleH+QA==,AGENT,TECH,16/12/2022 4:31:58,16/12/2022 4:32:36,38,B2C,ENG,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",PASSPORT,NULL,NULL,NULL,1,0,0,1,1
1670940256,ofIchLh5y4RLzHr6itzUKg==,AGENT,TECH,13/12/2022 14:04:16,13/12/2022 14:05:00,44,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,ofIchLh5y4RLzHr6itzUKg==,NULL,1,0,0,1,1
1670789520,AvNl2G65d6Y8UKUm1ZlzXQ==,AGENT,TECH,11/12/2022 20:12:01,11/12/2022 20:12:28,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671354682,Uet4xs2T/kZLNJJb+Ru6Vw==,AGENT,TECH,18/12/2022 9:11:23,18/12/2022 9:11:52,29,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,Uet4xs2T/kZLNJJb+Ru6Vw==,NULL,1,0,0,1,1
1671541966,uOJupusGpq7aDY1QYMBc2Q==,AGENT,TECH,20/12/2022 13:12:46,20/12/2022 13:13:26,40,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,uOJupusGpq7aDY1QYMBc2Q==,NULL,1,0,0,1,1
1671035705,hWSf2WQEw90o5aY8k+tzCQ==,AGENT,TECH,14/12/2022 16:35:05,14/12/2022 16:35:39,34,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,hWSf2WQEw90o5aY8k+tzCQ==,NULL,1,0,0,1,1
1670858344,QQ2eztZuo4/8Mu7ZAVF51g==,AGENT,TECH,12/12/2022 15:19:05,12/12/2022 15:19:33,28,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,QQ2eztZuo4/8Mu7ZAVF51g==,NULL,1,0,0,1,1
